HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
1EK4YV1J,2016-03-22 20:09:37,2016-03-22 02:58:46,6400,AR6E,AR3105,0000,00000000,0000,0000,101010A0A0D2D3    15,11 1D,LF,58,0127,000035,ARH370M,00000000,4,,6,3,M508L341,1,5,3,2016-03-22 21:00:20,0,17.181
1EK50SMG,2016-03-22 19:40:22,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000111,ARH370M,00000000,3,,3,3,M508HMA6,1,3,2,2016-03-22 21:05:15,0,17.191
1EK517YG,2016-03-22 19:40:28,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101014A0A0Z2Z3    15,11 1D,LF,57,U241,000008,ARH370M,00000000,5,,6,4,M508B253,1,5,3,2016-03-22 21:05:15,0,17.193
1EK519GF,2016-03-22 19:31:18,2016-03-22 02:28:53,6400,AR6E,AR2123,0000,00000000,0000,0000,101010A0A0D1D1    15,1  4,LF,58,U241,000065,ARH370M,00000000,2,,4,4,M50A2623,1,3,2,2016-03-22 21:05:15,0,17.040
1EK51JWF,2016-03-22 19:25:18,2016-03-22 02:28:53,6400,AR6E,AR2123,0000,00000000,0000,0000,101010A0A0D1D1    15,1  4,LF,58,U241,000090,ARH370M,00000000,2,,4,4,M50A2D13,1,3,1,2016-03-22 21:00:20,0,16.940
1EK51KPF,2016-03-22 19:30:23,2016-03-22 02:28:53,6400,AR6E,AR2123,0000,00000000,0000,0000,101010A0A0D1D1    15,1  4,LF,58,U241,000024,ARH370M,00000000,2,,4,4,M50A3BA0,1,3,2,2016-03-22 21:05:15,0,17.025
1EK51NBG,2016-03-22 19:45:54,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000074,ARH370M,00000000,2,,3,3,M508F575,1,3,2,2016-03-22 21:05:15,0,17.284
1EK52H4F,2016-03-22 19:50:28,2016-03-22 02:28:53,6400,AR6E,AR2123,0000,00000000,0000,0000,101010A0A0D1D1    15,11 1D,LF,57,U241,000072,ARH370M,00000000,4,,6,4,M508W235,1,7,4,2016-03-22 21:05:15,0,17.360
1EK54XHH,2016-03-22 20:10:07,2016-03-22 02:59:33,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    10,0  0,LF,58,0127,000081,ARH370M,00000000,2,,3,3,M50A0XB4,1,3,2,2016-03-22 21:00:20,0,17.176
1EK5R5KG,2016-03-22 19:31:21,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000075,ARH370M,00000000,2,,4,4,M50A3FG3,1,3,2,2016-03-22 21:05:15,0,17.041
1EK575YJ,2016-03-22 20:40:08,2016-03-22 03:22:08,6400,AR6E,AR3105,0000,00000000,0000,0000,101010A0A0D3D2    15,11 1D,LF,57,0139,000010,ARH370M,00000000,6,,6,2,M5097XX0,1,5,4,2016-03-22 22:00:19,0,17.300
1EK57M9H,2016-03-22 20:32:33,2016-03-22 03:22:11,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    15,11 1D,LF,04,0139,000013,ARH370M,00000000,3,,6,3,M508L217,1,5,3,2016-03-22 22:00:18,0,17.173
1EK5R02G,2016-03-22 19:40:28,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000080,ARH370M,00000000,2,,3,3,M50A5P66,1,3,2,2016-03-22 21:05:15,0,17.193
1EK58AUH,2016-03-22 21:15:14,2016-03-22 03:22:23,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    15,1 15,LF,58,0139,000026,ARH370M,00000000,4,,6,4,M508F836,1,5,3,2016-03-22 22:00:18,0,17.881
1EK58DTH,2016-03-22 20:07:00,2016-03-22 02:58:37,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1Z1    15,1  4,LF,04,0127,000026,ARH370M,00000000,2,,3,3,M50A2Y04,1,3,2,2016-03-22 21:05:15,0,17.140
1EK5PXLG,2016-03-22 19:30:24,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000067,ARH370M,00000000,2,,3,3,M50A3FE9,1,3,2,2016-03-22 21:00:20,0,17.025
1EK5PWVG,2016-03-22 19:30:08,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000001,ARH370M,00000000,2,,4,4,M50A3NN1,1,3,2,2016-03-22 21:05:15,0,17.021
1EK58W1J,2016-03-22 20:13:04,2016-03-22 02:58:45,6400,AR6E,AR3105,0000,00000000,0000,0000,101010A0A0D2D3    15,11 1D,LF,58,0127,000034,ARH370M,00000000,4,,6,3,M508L2W9,1,5,4,2016-03-22 21:00:20,0,17.239
1EK5AMNH,2016-03-22 20:33:59,2016-03-22 03:23:39,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    15,11 1D,LF,57,0139,000109,ARH370M,00000000,3,,6,4,M508W2L7,1,5,3,2016-03-22 22:00:18,0,17.172
1EK5AS4H,2016-03-22 20:09:34,2016-03-22 02:59:32,6400,AR6E,AR1105,0000,00000000,0000,0000,101014A0A0D1D1    15,11  C,LF,04,0127,000080,ARH370M,00000000,2,,3,3,M508CW53,1,3,2,2016-03-22 21:05:15,0,17.167
1EK5BLDJ,2016-03-22 20:33:19,2016-03-22 03:22:45,6400,AR6E,AR3105,0000,00000000,0000,0000,101010A0A0Z3Z2    15,1  4,LF,57,0139,000049,ARH370M,00000000,2,,4,4,M50A3AH7,1,3,2,2016-03-22 22:00:18,0,17.176
1EK5PR3G,2016-03-22 19:35:49,2016-03-22 02:28:53,6400,AR6E,AR4123,0000,00000000,0000,0000,101010A0A0D2D2    15,1  4,LF,58,U241,000081,ARH370M,00000000,2,,3,3,M50A3CG3,1,3,2,2016-03-22 21:00:20,0,17.116
1EK5D1WH,2016-03-22 20:08:18,2016-03-22 02:59:26,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    15,1  4,LF,57,0127,000074,ARH370M,00000000,2,,3,3,M50A18P2,1,3,2,2016-03-22 21:05:15,0,17.148
1EK5D3MH,2016-03-22 20:28:33,2016-03-22 03:23:40,6400,AR6E,AR1105,0000,00000000,0000,0000,101010A0A0D1D1    15,11 1D,LF,04,0139,000111,ARH370M,00000000,4,,6,3,M508WH43,1,5,3,2016-03-22 22:00:19,0,17.081
1EK5D8TJ,2016-03-22 20:33:40,2016-03-22 03:22:59,6400,AR6E,AR3105,0000,00000000,0000,0000,101010A0A0Z3Z2    15,1  4,LF,57,0139,000063,ARH370M,00000000,2,,3,3,M50A19E2,1,3,2,2016-03-22 22:00:18,0,17.178
