MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PC4000,V0G01R1A,0000,X1F0,I,0,0,63
PC4000,V0G01R1A,0000,X1F0,u,1,1,2
PC4000,V0G01R1A,0000,X1F0,k,2,2,2
PC4000,V0G01R1A,0000,X1F0,w,8,8,1
PC4000,V0G01R1A,0000,X1F0,w,9,9,66
PC4000,V0G01R1A,0000,X1F0,I,0,10,0
PC4000,V0G01R1A,0000,X1F0,d,12,17,1728
PC4000,V0G01R1A,0000,X1F0,?,13,18,2700
PC4000,V0G01R1A,0000,X1F0,T,14,19,0
PC4000,V0G01R1A,0000,X1F0,w,15,20,1
PC4000,V0G01R1A,0000,X1F0,d,17,22,793
PC4000,V0G01R1A,0000,X1F0,d,18,23,793
PC4000,V0G01R1A,0000,X1F0,v,19,24,100
PC4000,V0G01R1A,0000,X1F0,V,20,25,1
PC4000,V0G01R1A,0000,X1F0,d,21,26,2730
PC4000,V0G01R1A,0000,X1F0,d,22,27,795
PC4000,V0G01R1A,0000,X1F0,d,23,28,2729
PC4000,V0G01R1A,0000,X1F0,I,0,29,0
PC4000,V0G01R1A,0000,X1F0,T,14,36,0
PC4000,V0G01R1A,0000,X1F0,V,20,38,1
PC4000,V0G01R1A,0000,X1F0,v,25,39,11
PC4000,V0G01R1A,0000,X1F0,v,26,40,12
PC4000,V0G01R1A,0000,X1F0,w,27,41,22
PC4000,V0G01R1A,0000,X1F0,I,0,42,0
PC4000,V0G01R1A,0000,X1F0,T,14,49,0
PC4000,V0G01R1A,0000,X1F0,V,20,51,1
PC4000,V0G01R1A,0000,X1F0,s,29,52,1421
PC4000,V0G01R1A,0000,X1F0,w,30,53,1
PC4000,V0G01R1A,0000,X1F0,s,32,55,1313
PC4000,V0G01R1A,0000,X1F0,I,0,57,0
PC4000,V0G01R1A,0000,X1F0,T,14,64,0
PC4000,V0G01R1A,0000,X1F0,V,20,66,1
PC4000,V0G01R1A,0000,X1F0,v,35,69,11
PC4000,V0G01R1A,0000,X1F0,w,36,70,1
PC4000,V0G01R1A,0000,X1F0,I,0,71,0
PC4000,V0G01R1A,0000,X1F0,T,14,78,0
PC4000,V0G01R1A,0000,X1F0,V,20,80,1
PC4000,V0G01R1A,0000,X1F0,v,38,83,0
PC4000,V0G01R1A,0000,X1F0,c,39,84,2
PC4000,V0G01R1A,0000,X1F0,c,41,86,140
PC4000,V0G01R1A,0000,X1F0,c,42,87,1
PC4000,V0G01R1A,0000,X1F0,c,43,88,1
PC4000,V0G01R1A,0000,X1F0,c,44,89,1
PC4000,V0G01R1A,0000,X1F0,I,0,90,0
PC4000,V0G01R1A,0000,X1F0,T,14,97,0
PC4000,V0G01R1A,0000,X1F0,V,20,99,1
PC4000,V0G01R1A,0000,X1F0,v,46,103,56
PC4000,V0G01R1A,0000,X1F0,v,47,104,12
PC4000,V0G01R1A,0000,X1F0,v,48,105,11
PC4000,V0G01R1A,0000,X1F0,v,49,106,12
PC4000,V0G01R1A,0000,X1F0,v,50,107,11
PC4000,V0G01R1A,0000,X1F0,v,51,108,12
PC4000,V0G01R1A,0000,X1F0,v,52,109,13
PC4000,V0G01R1A,0000,X1F0,I,0,110,0
PC4000,V0G01R1A,0000,X1F0,T,14,117,0
PC4000,V0G01R1A,0000,X1F0,V,20,119,1
PC4000,V0G01R1A,0000,X1F0,a,58,127,20
PC4000,V0G01R1A,0000,X1F0,a,59,128,87
PC4000,V0G01R1A,0000,X1F0,a,61,130,504
PC4000,V0G01R1A,0000,X1F0,a,63,132,252
PC4000,V0G01R1A,0000,X1F0,u,64,133,1
