HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
1EJX44EJ    ,2015-10-27 10:01:50,2015-10-14 22:05:55,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,101010A0A0D2A2    10,   0  0,LI,73,X433,041401,ARHS36AC,00000000,1,RR,0,0,M5066X35    ,1,2,1,2015-10-27 10:29:40,13,299.932
1EJX4AYJ    ,2015-10-27 10:01:34,2015-10-14 22:17:50,6600,AR6E,AR3105    ,9991,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LI,16,X436,242701,ARHS36AC,00000000,1,RR,0,0,M505WP06    ,1,2,1,2015-10-27 10:29:40,13,299.729
1EJWYZBJ    ,2015-10-27 10:01:40,2015-10-14 22:05:55,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LI,73,X433,041400,ARHS36AC,00000000,1,RR,0,0,M5064NT1    ,1,2,1,2015-10-27 10:29:39,13,299.929
1EJX1YPJ    ,2015-10-27 10:01:29,2015-10-14 21:36:53,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,04,X432,020300,ARHS36AC,00000000,1,RR,0,0,M506F9D6    ,1,2,1,2015-10-27 10:29:40,13,300.410
1EJX89DJ    ,2015-10-27 10:01:54,2015-10-17 06:26:21,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LF,58,X436,063100,ARHS36AC,00000000,1,RR,0,0,M5068SN5    ,1,2,1,2015-10-27 10:29:40,10,243.592
1EJX89RJ    ,2015-10-27 10:01:31,2015-10-17 06:26:21,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X436,063101,ARHS36AC,00000000,1,RR,0,0,M505WQ34    ,1,2,1,2015-10-27 10:29:40,10,243.586
1EJXA6DJ    ,2015-10-27 10:01:40,2015-10-14 22:17:50,6600,AR6E,AR3105    ,9991,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X436,242700,ARHS36AC,00000000,1,RR,0,0,M505SVP8    ,1,2,1,2015-10-27 10:29:40,13,299.730
1EJWZ11J    ,2015-10-27 10:01:38,2015-10-14 21:36:53,6600,AR6E,AR4105    ,9991,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LI,73,X432,020301,ARHS36AC,00000000,1,RR,0,0,M505WPQ1    ,1,2,1,2015-10-27 10:29:39,13,300.412
1EJX4D5J    ,2015-10-27 10:01:34,2015-10-14 22:05:50,6600,AR6E,AR3105    ,9991,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LI,16,X436,032700,ARHS36AC,00000000,1,RR,0,0,M5064TW5    ,1,2,1,2015-10-27 10:29:40,13,299.929
1EJX4EJJ    ,2015-10-20 07:23:48,2015-10-13 18:27:42,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D3D2    10,   0  0,LI,16,X435,153200,ARHS36AC,00000000,1,XN,0,0,M505X656    ,1,2,1,2015-10-20 08:10:13,7,156.935
