SEQCHR,LPCNT,TIME at xx%,TIME_Mean,TIME_Min,TIME_Max,TIME_SDev,Count
?,13,2702,2701.600,2700,2705,2.074,5
a,58,20,23.000,20,29,5.196,3
a,59,87,89.333,86,95,4.933,3
a,61,504,507.000,504,513,5.196,3
a,63,252,254.667,251,261,5.508,3
c,39,2,5.333,2,12,5.774,3
c,41,140,140.000,125,155,15.000,3
c,42,1,4.333,1,11,5.774,3
c,43,1,4.000,0,11,6.083,3
c,44,1,4.000,1,10,5.196,3
d,12,1702,1634.000,1536,1728,87.955,5
d,17,850,817.800,792,856,32.283,5
d,18,854,818.200,791,856,33.670,5
d,21,2710,2696.600,2671,2730,24.368,5
d,22,851,819.000,794,860,33.474,5
d,23,2712,2696.600,2671,2729,24.337,5
I,0,63,9.265,0,63,22.648,34
k,2,2,2.000,2,2,0.000,5
s,29,2734,1984.600,1323,3117,870.404,5
s,32,1372,1337.200,1313,1373,32.237,5
T,14,0,0.000,0,0,0.000,5
u,1,2,2.000,2,2,0.000,5
u,64,1,1.333,1,2,0.577,3
v,19,219,184.800,100,399,130.024,5
v,25,18,14.800,11,22,4.970,5
v,26,15,13.600,11,17,2.408,5
v,35,541,227.400,11,561,295.490,5
v,38,0,1.667,0,5,2.887,3
v,46,56,117.000,54,241,107.392,3
v,47,12,15.000,11,22,6.083,3
v,48,11,11.333,11,12,0.577,3
v,49,12,280.333,12,817,464.767,3
v,50,11,12.667,11,16,2.887,3
v,51,12,17.333,12,28,9.238,3
v,52,13,60.000,13,154,81.406,3
V,20,5,1.931,0,10,2.120,29
w,8,1,1.000,1,1,0.000,5
w,9,64,63.400,62,66,1.673,5
w,15,1,1.000,1,1,0.000,5
w,27,22,22.600,22,25,1.342,5
w,30,1,0.600,0,1,0.548,5
w,36,1,0.667,0,1,0.577,3
