MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PBN400,17GBK0WE,0000,AA63,I,0,0,64
PBN400,17GBK0WE,0000,AA63,u,1,1,27
PBN400,17GBK0WE,0000,AA63,w,6,6,4
PBN400,17GBK0WE,0000,AA63,w,7,7,194
PBN400,17GBK0WE,0000,AA63,I,0,8,0
PBN400,17GBK0WE,0000,AA63,d,12,16,9561
PBN400,17GBK0WE,0000,AA63,d,16,20,9375
PBN400,17GBK0WE,0000,AA63,v,20,24,30
PBN400,17GBK0WE,0000,AA63,V,21,25,1
PBN400,17GBK0WE,0000,AA63,c,22,26,0
PBN400,17GBK0WE,0000,AA63,k,23,27,5
PBN400,17GBK0WE,0000,AA63,w,24,28,4
PBN400,17GBK0WE,0000,AA63,?,25,29,602
PBN400,17GBK0WE,0000,AA63,T,26,30,176
PBN400,17GBK0WE,0000,AA63,v,27,31,432
PBN400,17GBK0WE,0000,AA63,v,28,32,1
PBN400,17GBK0WE,0000,AA63,d,32,36,46740
PBN400,17GBK0WE,0000,AA63,I,0,39,0
PBN400,17GBK0WE,0000,AA63,V,21,51,1
PBN400,17GBK0WE,0000,AA63,T,26,52,0
PBN400,17GBK0WE,0000,AA63,c,36,58,106
PBN400,17GBK0WE,0000,AA63,c,37,59,643
PBN400,17GBK0WE,0000,AA63,c,38,60,273
PBN400,17GBK0WE,0000,AA63,v,39,61,31
PBN400,17GBK0WE,0000,AA63,v,40,62,89
PBN400,17GBK0WE,0000,AA63,w,41,63,110
PBN400,17GBK0WE,0000,AA63,I,0,64,0
PBN400,17GBK0WE,0000,AA63,V,21,76,8
PBN400,17GBK0WE,0000,AA63,T,26,77,0
PBN400,17GBK0WE,0000,AA63,s,45,85,8304
PBN400,17GBK0WE,0000,AA63,w,47,87,5
PBN400,17GBK0WE,0000,AA63,s,50,90,8311
PBN400,17GBK0WE,0000,AA63,I,0,93,0
PBN400,17GBK0WE,0000,AA63,V,21,105,8
PBN400,17GBK0WE,0000,AA63,T,26,106,0
PBN400,17GBK0WE,0000,AA63,v,54,119,19
PBN400,17GBK0WE,0000,AA63,w,55,120,4
PBN400,17GBK0WE,0000,AA63,I,0,121,0
PBN400,17GBK0WE,0000,AA63,V,21,133,8
PBN400,17GBK0WE,0000,AA63,T,26,134,0
PBN400,17GBK0WE,0000,AA63,v,57,147,8
PBN400,17GBK0WE,0000,AA63,c,58,148,3
PBN400,17GBK0WE,0000,AA63,c,60,150,8
PBN400,17GBK0WE,0000,AA63,c,61,151,80
PBN400,17GBK0WE,0000,AA63,c,62,152,81
PBN400,17GBK0WE,0000,AA63,c,63,153,86
PBN400,17GBK0WE,0000,AA63,I,0,154,0
PBN400,17GBK0WE,0000,AA63,V,21,166,8
PBN400,17GBK0WE,0000,AA63,T,26,167,0
PBN400,17GBK0WE,0000,AA63,v,65,181,384
PBN400,17GBK0WE,0000,AA63,v,66,182,35
PBN400,17GBK0WE,0000,AA63,v,67,183,39
PBN400,17GBK0WE,0000,AA63,v,68,184,35
PBN400,17GBK0WE,0000,AA63,v,69,185,35
PBN400,17GBK0WE,0000,AA63,v,70,186,68
PBN400,17GBK0WE,0000,AA63,v,71,187,35
PBN400,17GBK0WE,0000,AA63,v,72,188,36
PBN400,17GBK0WE,0000,AA63,v,73,189,103
PBN400,17GBK0WE,0000,AA63,v,74,190,262
PBN400,17GBK0WE,0000,AA63,I,0,191,0
PBN400,17GBK0WE,0000,AA63,V,21,203,9
PBN400,17GBK0WE,0000,AA63,T,26,204,0
PBN400,17GBK0WE,0000,AA63,a,79,221,4469
PBN400,17GBK0WE,0000,AA63,u,80,222,29
