MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PBN400,17G84B3E,0000,AAZ3,I,0,0,64
PBN400,17G84B3E,0000,AAZ3,u,1,1,27
PBN400,17G84B3E,0000,AAZ3,w,6,6,5
PBN400,17G84B3E,0000,AAZ3,w,7,7,190
PBN400,17G84B3E,0000,AAZ3,I,0,8,0
PBN400,17G84B3E,0000,AAZ3,d,11,15,10403
PBN400,17G84B3E,0000,AAZ3,d,14,18,10216
PBN400,17G84B3E,0000,AAZ3,v,18,22,33
PBN400,17G84B3E,0000,AAZ3,V,19,23,1
PBN400,17G84B3E,0000,AAZ3,c,20,24,0
PBN400,17G84B3E,0000,AAZ3,k,21,25,5
PBN400,17G84B3E,0000,AAZ3,w,22,26,4
PBN400,17G84B3E,0000,AAZ3,?,23,27,2700
PBN400,17G84B3E,0000,AAZ3,T,24,28,0
PBN400,17G84B3E,0000,AAZ3,v,25,29,372
PBN400,17G84B3E,0000,AAZ3,v,26,30,1
PBN400,17G84B3E,0000,AAZ3,d,29,33,18910
PBN400,17G84B3E,0000,AAZ3,I,0,35,0
PBN400,17G84B3E,0000,AAZ3,V,19,45,0
PBN400,17G84B3E,0000,AAZ3,T,24,46,0
PBN400,17G84B3E,0000,AAZ3,c,32,50,1
PBN400,17G84B3E,0000,AAZ3,c,33,51,3
PBN400,17G84B3E,0000,AAZ3,c,34,52,2
PBN400,17G84B3E,0000,AAZ3,v,35,53,20
PBN400,17G84B3E,0000,AAZ3,v,36,54,17
PBN400,17G84B3E,0000,AAZ3,w,37,55,109
PBN400,17G84B3E,0000,AAZ3,I,0,56,0
PBN400,17G84B3E,0000,AAZ3,V,19,66,1
PBN400,17G84B3E,0000,AAZ3,T,24,67,0
PBN400,17G84B3E,0000,AAZ3,s,41,73,8030
PBN400,17G84B3E,0000,AAZ3,w,43,75,5
PBN400,17G84B3E,0000,AAZ3,s,46,78,8043
PBN400,17G84B3E,0000,AAZ3,I,0,81,0
PBN400,17G84B3E,0000,AAZ3,V,19,91,1
PBN400,17G84B3E,0000,AAZ3,T,24,92,0
PBN400,17G84B3E,0000,AAZ3,v,50,103,15
PBN400,17G84B3E,0000,AAZ3,w,51,104,4
PBN400,17G84B3E,0000,AAZ3,I,0,105,0
PBN400,17G84B3E,0000,AAZ3,V,19,115,1
PBN400,17G84B3E,0000,AAZ3,T,24,116,0
