SEQCHR,LPCNT,TIME at xx%,TIME_Mean,TIME_Min,TIME_Max,TIME_SDev,Count
I,0,64,7.964,0,64,21.173,225
u,1,29,28.429,27,29,0.690,28
w,6,5,4.250,4,5,0.441,28
w,7,191,190.143,190,192,0.448,28
d,11,9468,9227.714,8613,9612,208.671,28
d,14,10133,9124.143,8410,10165,351.976,28
v,18,167,54.214,15,369,68.863,28
V,19,4,0.543,0,5,0.912,197
c,20,1,0.429,0,8,1.526,28
k,21,5,4.964,4,6,0.331,28
w,22,5,4.250,4,5,0.441,28
?,23,628,615.286,600,634,9.018,28
T,24,1397,613.571,0,1893,451.485,28
v,25,511,386.393,317,742,81.556,28
v,26,1,0.786,0,1,0.418,28
d,29,38274,20473.704,16791,41833,6145.962,27
c,32,15,3.143,0,50,9.602,28
c,33,92,20.750,2,330,63.004,28
c,34,74,16.071,2,253,48.318,28
c,35,36,9.321,1,141,26.645,28
v,36,138,31.679,15,265,51.790,28
v,37,70,23.750,15,121,22.401,28
w,38,111,109.679,108,112,0.945,28
s,42,8303,8117.464,7578,8391,170.923,28
w,44,5,4.357,4,5,0.488,28
s,47,9779,8497.964,7657,15540,1432.291,28
v,51,17,16.750,15,60,8.488,28
w,52,5,4.143,4,5,0.356,28
v,54,3,1.107,0,4,0.832,28
c,55,5,2.893,2,9,1.423,28
c,57,3,0.893,0,5,1.066,28
c,58,40,6.250,1,57,12.548,28
c,59,40,6.250,1,56,12.343,28
c,60,46,7.786,1,78,16.412,28
v,62,450,205.143,124,753,129.381,28
v,63,26,17.357,15,37,4.399,28
v,64,27,18.464,16,37,4.476,28
v,65,27,17.643,16,38,4.588,28
v,66,26,17.714,15,43,5.415,28
v,67,128,53.536,16,296,53.059,28
v,68,26,17.536,15,38,4.526,28
v,69,60,165.250,16,4126,776.280,28
v,70,66,36.429,15,470,85.655,28
v,71,387,207.786,68,1918,343.451,28
a,76,4464,4459.571,4457,4468,2.574,28
u,77,30,29.071,27,30,0.858,28
