MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PBG408,17235BAV,0000,ACA3,I,0,0,64
PBG408,17235BAV,0000,ACA3,u,1,1,28
PBG408,17235BAV,0000,ACA3,w,6,6,4
PBG408,17235BAV,0000,ACA3,w,7,7,191
PBG408,17235BAV,0000,ACA3,I,0,8,0
PBG408,17235BAV,0000,ACA3,d,11,15,8575
PBG408,17235BAV,0000,ACA3,d,14,18,8407
PBG408,17235BAV,0000,ACA3,v,18,22,21
PBG408,17235BAV,0000,ACA3,V,19,23,0
PBG408,17235BAV,0000,ACA3,c,20,24,0
PBG408,17235BAV,0000,ACA3,k,21,25,5
PBG408,17235BAV,0000,ACA3,w,22,26,5
PBG408,17235BAV,0000,ACA3,?,23,27,605
PBG408,17235BAV,0000,ACA3,T,24,28,2310
PBG408,17235BAV,0000,ACA3,v,25,29,397
PBG408,17235BAV,0000,ACA3,v,26,30,1
PBG408,17235BAV,0000,ACA3,d,29,33,17124
PBG408,17235BAV,0000,ACA3,I,0,35,0
PBG408,17235BAV,0000,ACA3,V,19,45,0
PBG408,17235BAV,0000,ACA3,T,24,46,0
PBG408,17235BAV,0000,ACA3,c,32,50,1
PBG408,17235BAV,0000,ACA3,c,33,51,1
PBG408,17235BAV,0000,ACA3,c,34,52,2
PBG408,17235BAV,0000,ACA3,c,35,53,0
PBG408,17235BAV,0000,ACA3,v,36,54,16
PBG408,17235BAV,0000,ACA3,v,37,55,15
PBG408,17235BAV,0000,ACA3,w,38,56,112
PBG408,17235BAV,0000,ACA3,I,0,57,0
PBG408,17235BAV,0000,ACA3,V,19,67,0
PBG408,17235BAV,0000,ACA3,T,24,68,0
PBG408,17235BAV,0000,ACA3,s,42,74,7578
PBG408,17235BAV,0000,ACA3,w,44,76,4
PBG408,17235BAV,0000,ACA3,s,47,79,7585
PBG408,17235BAV,0000,ACA3,I,0,82,0
PBG408,17235BAV,0000,ACA3,V,19,92,0
