MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PC4000,V0G01M3A,6300,X1F0,I,0,0,63
PC4000,V0G01M3A,6300,X1F0,u,1,1,2
PC4000,V0G01M3A,6300,X1F0,k,2,2,2
PC4000,V0G01M3A,6300,X1F0,w,8,8,1
PC4000,V0G01M3A,6300,X1F0,w,9,9,64
PC4000,V0G01M3A,6300,X1F0,I,0,10,0
PC4000,V0G01M3A,6300,X1F0,d,12,17,1656
PC4000,V0G01M3A,6300,X1F0,?,13,18,2705
PC4000,V0G01M3A,6300,X1F0,T,14,19,0
PC4000,V0G01M3A,6300,X1F0,w,15,20,1
PC4000,V0G01M3A,6300,X1F0,d,17,22,856
PC4000,V0G01M3A,6300,X1F0,d,18,23,856
PC4000,V0G01M3A,6300,X1F0,v,19,24,219
PC4000,V0G01M3A,6300,X1F0,V,20,25,0
PC4000,V0G01M3A,6300,X1F0,d,21,26,2710
PC4000,V0G01M3A,6300,X1F0,d,22,27,851
PC4000,V0G01M3A,6300,X1F0,d,23,28,2712
PC4000,V0G01M3A,6300,X1F0,I,0,29,0
PC4000,V0G01M3A,6300,X1F0,T,14,36,0
PC4000,V0G01M3A,6300,X1F0,V,20,38,1
PC4000,V0G01M3A,6300,X1F0,v,25,39,22
PC4000,V0G01M3A,6300,X1F0,v,26,40,17
PC4000,V0G01M3A,6300,X1F0,w,27,41,22
PC4000,V0G01M3A,6300,X1F0,I,0,42,0
PC4000,V0G01M3A,6300,X1F0,T,14,49,0
PC4000,V0G01M3A,6300,X1F0,V,20,51,1
PC4000,V0G01M3A,6300,X1F0,s,29,52,2734
PC4000,V0G01M3A,6300,X1F0,w,30,53,1
PC4000,V0G01M3A,6300,X1F0,s,32,55,1373
PC4000,V0G01M3A,6300,X1F0,I,0,57,0
PC4000,V0G01M3A,6300,X1F0,T,14,64,0
PC4000,V0G01M3A,6300,X1F0,V,20,66,1
PC4000,V0G01M3A,6300,X1F0,v,35,69,561
PC4000,V0G01NUA,6300,X1F0,I,0,0,63
PC4000,V0G01NUA,6300,X1F0,u,1,1,2
PC4000,V0G01NUA,6300,X1F0,k,2,2,2
PC4000,V0G01NUA,6300,X1F0,w,8,8,1
PC4000,V0G01NUA,6300,X1F0,w,9,9,63
PC4000,V0G01NUA,6300,X1F0,I,0,10,0
PC4000,V0G01NUA,6300,X1F0,d,12,17,1702
PC4000,V0G01NUA,6300,X1F0,?,13,18,2701
PC4000,V0G01NUA,6300,X1F0,T,14,19,0
PC4000,V0G01NUA,6300,X1F0,w,15,20,1
PC4000,V0G01NUA,6300,X1F0,d,17,22,850
PC4000,V0G01NUA,6300,X1F0,d,18,23,854
PC4000,V0G01NUA,6300,X1F0,v,19,24,103
PC4000,V0G01NUA,6300,X1F0,V,20,25,1
PC4000,V0G01NUA,6300,X1F0,d,21,26,2676
PC4000,V0G01NUA,6300,X1F0,d,22,27,860
PC4000,V0G01NUA,6300,X1F0,d,23,28,2676
PC4000,V0G01NUA,6300,X1F0,I,0,29,0
PC4000,V0G01NUA,6300,X1F0,T,14,36,0
PC4000,V0G01NUA,6300,X1F0,V,20,38,1
PC4000,V0G01NUA,6300,X1F0,v,25,39,18
PC4000,V0G01NUA,6300,X1F0,v,26,40,15
PC4000,V0G01NUA,6300,X1F0,w,27,41,22
PC4000,V0G01NUA,6300,X1F0,I,0,42,0
PC4000,V0G01NUA,6300,X1F0,T,14,49,0
PC4000,V0G01NUA,6300,X1F0,V,20,51,1
PC4000,V0G01NUA,6300,X1F0,s,29,52,3117
PC4000,V0G01NUA,6300,X1F0,w,30,53,0
PC4000,V0G01NUA,6300,X1F0,s,32,55,1372
PC4000,V0G01NUA,6300,X1F0,I,0,57,0
PC4000,V0G01NUA,6300,X1F0,T,14,64,0
PC4000,V0G01NUA,6300,X1F0,V,20,66,1
PC4000,V0G01NUA,6300,X1F0,v,35,69,541
PC4000,V0G01R1A,0000,X1F0,I,0,0,63
PC4000,V0G01R1A,0000,X1F0,u,1,1,2
PC4000,V0G01R1A,0000,X1F0,k,2,2,2
PC4000,V0G01R1A,0000,X1F0,w,8,8,1
PC4000,V0G01R1A,0000,X1F0,w,9,9,66
PC4000,V0G01R1A,0000,X1F0,I,0,10,0
PC4000,V0G01R1A,0000,X1F0,d,12,17,1728
PC4000,V0G01R1A,0000,X1F0,?,13,18,2700
PC4000,V0G01R1A,0000,X1F0,T,14,19,0
