HDDSN,ENDDATE,SRSTVER,PROCID,PFCODE,CandidateMaster
VLG0938C    ,2009-07-12 08:47:58,74015802,6600,0000,1
VLG093EC    ,2009-07-27 18:25:08,74015802,6600,0000,1
VLG093NC    ,2009-07-27 16:57:22,74015802,6600,0000,1
VLG095XC    ,2009-07-12 11:30:48,74015802,6600,0000,1
VLG095XC    ,2009-07-27 15:37:49,74015802,6600,0000,1
VLG096JC    ,2009-07-27 18:27:01,74015802,6600,0000,1
VLG096RC    ,2009-07-27 15:18:39,74015802,6600,0000,1
VLG097GC    ,2009-07-22 12:25:40,74015802,6600,0000,1
VLG098EC    ,2009-07-27 16:20:47,74015802,6600,0000,1
VLG098GC    ,2009-07-27 18:03:54,74015802,6600,0000,1
VLG098VC    ,2009-07-27 15:28:55,74015802,6600,0000,1
VLG099WC    ,2009-07-27 15:26:13,74015802,6600,0000,1
VLG09ABC    ,2009-07-27 17:21:30,74015802,6600,0000,1
VLG09AMC    ,2009-07-27 17:53:25,74015802,6600,0000,1
VLG09BVD    ,2009-07-27 15:33:08,74015802,6600,0000,1
VLG09D6D    ,2009-07-27 15:36:28,74015802,6600,0000,1
VLG09DUD    ,2009-07-27 15:31:05,74015802,6600,0000,1
VLG09GBD    ,2009-07-27 15:18:41,74015802,6600,0000,1
VLG09GMD    ,2009-07-12 06:13:41,74015802,6600,0000,1
VLG09GTD    ,2009-07-27 16:44:04,74015802,6600,0000,1
VLG09HYD    ,2009-07-22 13:02:27,74015802,6600,0000,1
VLG09HYD    ,2009-07-27 16:35:53,74015802,6600,0000,1
VLG09K0D    ,2009-07-12 06:44:58,74015802,6600,0000,1
VLG09KSD    ,2009-07-18 20:36:41,74015802,6600,0000,1
VLG09KSD    ,2009-07-27 17:14:37,74015802,6600,0000,1
VLG09KVD    ,2009-07-18 20:04:48,74015802,6600,0000,1
VLG09KVD    ,2009-07-22 13:10:49,74015802,6600,0000,1
VLG09KVD    ,2009-07-27 16:13:17,74015802,6600,0000,1
VLG09KZD    ,2009-07-27 17:00:25,74015802,6600,0000,1
VLG09L9D    ,2009-07-18 18:17:02,74015802,6600,0000,1
VLG09L9D    ,2009-07-22 17:38:22,74015802,6600,0000,1
VLG09L9D    ,2009-07-27 16:02:24,74015802,6600,0000,1
VLG09LPD    ,2009-07-12 07:36:53,74015802,6600,0000,1
VLG09LPD    ,2009-07-27 15:56:33,74015802,6600,0000,1
VLG09MRD    ,2009-07-27 15:34:29,74015802,6600,0000,1
VLG09N7D    ,2009-07-27 15:54:55,74015802,6600,0000,1
