MFGID,SN,PF,VER,SEQCHR,LPCNT,CUMLPCNT,TIME
PBN403,M7HWAE0E,0000,ACA3,I,0,0,64
PBN403,M7HWAE0E,0000,ACA3,u,1,1,27
PBN403,M7HWAE0E,0000,ACA3,w,6,6,5
PBN403,M7HWAE0E,0000,ACA3,w,7,7,190
PBN403,M7HWAE0E,0000,ACA3,I,0,8,0
PBN403,M7HWAE0E,0000,ACA3,d,11,15,9117
PBN403,M7HWAE0E,0000,ACA3,d,14,18,9030
PBN403,M7HWAE0E,0000,ACA3,v,18,22,369
PBN403,M7HWAE0E,0000,ACA3,V,19,23,1
PBN403,M7HWAE0E,0000,ACA3,c,20,24,1
PBN403,M7HWAE0E,0000,ACA3,k,21,25,5
PBN403,M7HWAE0E,0000,ACA3,w,22,26,4
PBN403,M7HWAE0E,0000,ACA3,?,23,27,611
PBN403,M7HWAE0E,0000,ACA3,T,24,28,517
PBN403,M7HWAE0E,0000,ACA3,v,25,29,511
PBN403,M7HWAE0E,0000,ACA3,v,26,30,1
PBN403,M7HWAE0E,0000,ACA3,d,29,33,19053
PBN403,M7HWAE0E,0000,ACA3,I,0,35,0
PBN403,M7HWAE0E,0000,ACA3,V,19,45,1
PBN403,M7HWAE0E,0000,ACA3,T,24,46,0
PBN403,M7HWAE0E,0000,ACA3,c,32,50,4
PBN403,M7HWAE0E,0000,ACA3,c,33,51,31
PBN403,M7HWAE0E,0000,ACA3,c,34,52,14
PBN403,M7HWAE0E,0000,ACA3,c,35,53,12
PBN403,M7HWAE0E,0000,ACA3,v,36,54,17
PBN403,M7HWAE0E,0000,ACA3,v,37,55,19
PBN403,M7HWAE0E,0000,ACA3,w,38,56,109
PBN403,M7HWAE0E,0000,ACA3,I,0,57,0
PBN403,M7HWAE0E,0000,ACA3,V,19,67,1
PBN403,M7HWAE0E,0000,ACA3,T,24,68,0
PBN403,M7HWAE0E,0000,ACA3,s,42,74,8028
PBN403,M7HWAE0E,0000,ACA3,w,44,76,5
PBN403,M7HWAE0E,0000,ACA3,s,47,79,8030
PBN403,M7HWAE0E,0000,ACA3,I,0,82,0
PBN403,M7HWAE0E,0000,ACA3,V,19,92,1
PBN403,M7HWAE0E,0000,ACA3,T,24,93,0
PBN403,M7HWAE0E,0000,ACA3,v,51,104,16
PBN403,M7HWAE0E,0000,ACA3,w,52,105,4
PBN403,M7HWAE0E,0000,ACA3,I,0,106,0
PBN403,M7HWAE0E,0000,ACA3,V,19,116,1
PBN403,M7HWAE0E,0000,ACA3,T,24,117,0
PBN403,M7HWAE0E,0000,ACA3,v,54,128,2
PBN403,M7HWAE0E,0000,ACA3,c,55,129,9
PBN403,M7HWAE0E,0000,ACA3,c,57,131,1
PBN403,M7HWAE0E,0000,ACA3,c,58,132,6
PBN403,M7HWAE0E,0000,ACA3,c,59,133,6
PBN403,M7HWAE0E,0000,ACA3,c,60,134,7
PBN403,M7HWAE0E,0000,ACA3,I,0,135,0
PBN403,M7HWAE0E,0000,ACA3,V,19,145,1
PBN403,M7HWAE0E,0000,ACA3,T,24,146,0
PBN403,M7HWAE0E,0000,ACA3,v,62,158,753
PBN403,M7HWAE0E,0000,ACA3,v,63,159,18
PBN403,M7HWAE0E,0000,ACA3,v,64,160,22
PBN403,M7HWAE0E,0000,ACA3,v,65,161,19
PBN403,M7HWAE0E,0000,ACA3,v,66,162,18
PBN403,M7HWAE0E,0000,ACA3,v,67,163,296
PBN403,M7HWAE0E,0000,ACA3,v,68,164,18
PBN403,M7HWAE0E,0000,ACA3,v,69,165,22
PBN403,M7HWAE0E,0000,ACA3,v,70,166,470
PBN403,M7HWAE0E,0000,ACA3,v,71,167,134
PBN403,M7HWAE0E,0000,ACA3,I,0,168,0
PBN403,M7HWAE0E,0000,ACA3,V,19,178,2
PBN403,M7HWAE0E,0000,ACA3,T,24,179,0
PBN403,M7HWAE0E,0000,ACA3,a,76,194,4464
PBN403,M7HWAE0E,0000,ACA3,u,77,195,28
PBN400,M7J9HVKE,0000,ACA3,I,0,0,64
PBN400,M7J9HVKE,0000,ACA3,u,1,1,29
PBN400,M7J9HVKE,0000,ACA3,w,6,6,4
PBN400,M7J9HVKE,0000,ACA3,w,7,7,190
PBN400,M7J9HVKE,0000,ACA3,I,0,8,0
PBN400,M7J9HVKE,0000,ACA3,d,11,15,8906
PBN400,M7J9HVKE,0000,ACA3,d,14,18,8733
PBN400,M7J9HVKE,0000,ACA3,v,18,22,95
PBN400,M7J9HVKE,0000,ACA3,V,19,23,1
PBN400,M7J9HVKE,0000,ACA3,c,20,24,0
PBN400,M7J9HVKE,0000,ACA3,k,21,25,5
PBN400,M7J9HVKE,0000,ACA3,w,22,26,4
PBN400,M7J9HVKE,0000,ACA3,?,23,27,619
PBN400,M7J9HVKE,0000,ACA3,T,24,28,1023
PBN400,M7J9HVKE,0000,ACA3,v,25,29,384
PBN400,M7J9HVKE,0000,ACA3,v,26,30,1
PBN400,M7J9HVKE,0000,ACA3,d,29,33,19087
PBN400,M7J9HVKE,0000,ACA3,I,0,35,0
PBN400,M7J9HVKE,0000,ACA3,V,19,45,0
PBN400,M7J9HVKE,0000,ACA3,T,24,46,1
PBN400,M7J9HVKE,0000,ACA3,c,32,50,0
PBN400,M7J9HVKE,0000,ACA3,c,33,51,2
PBN400,M7J9HVKE,0000,ACA3,c,34,52,1
PBN400,M7J9HVKE,0000,ACA3,c,35,53,1
PBN400,M7J9HVKE,0000,ACA3,v,36,54,16
PBN400,M7J9HVKE,0000,ACA3,v,37,55,15
PBN400,M7J9HVKE,0000,ACA3,w,38,56,111
PBN400,M7J9HVKE,0000,ACA3,I,0,57,0
PBN400,M7J9HVKE,0000,ACA3,V,19,67,0
PBN400,M7J9HVKE,0000,ACA3,T,24,68,1
PBN400,M7J9HVKE,0000,ACA3,s,42,74,7849
PBN400,M7J9HVKE,0000,ACA3,w,44,76,4
PBN400,M7J9HVKE,0000,ACA3,s,47,79,7881
PBN400,M7J9HVKE,0000,ACA3,I,0,82,0
PBN400,M7J9HVKE,0000,ACA3,V,19,92,0
PBN400,M7J9HVKE,0000,ACA3,T,24,93,1
PBN400,M7J9HVKE,0000,ACA3,v,51,104,15
PBN400,M7J9HVKE,0000,ACA3,w,52,105,5
PBN400,M7J9HVKE,0000,ACA3,I,0,106,0
PBN400,M7J9HVKE,0000,ACA3,V,19,116,0
PBN400,M7J9HVKE,0000,ACA3,T,24,117,1
PBN400,M7J9HVKE,0000,ACA3,v,54,128,1
PBN400,M7J9HVKE,0000,ACA3,c,55,129,3
PBN400,M7J9HVKE,0000,ACA3,c,57,131,0
PBN400,M7J9HVKE,0000,ACA3,c,58,132,1
PBN400,M7J9HVKE,0000,ACA3,c,59,133,1
PBN400,M7J9HVKE,0000,ACA3,c,60,134,2
PBN400,M7J9HVKE,0000,ACA3,I,0,135,0
PBN400,M7J9HVKE,0000,ACA3,V,19,145,0
PBN400,M7J9HVKE,0000,ACA3,T,24,146,1
PBN400,M7J9HVKE,0000,ACA3,v,62,158,243
PBN400,M7J9HVKE,0000,ACA3,v,63,159,16
PBN400,M7J9HVKE,0000,ACA3,v,64,160,16
PBN400,M7J9HVKE,0000,ACA3,v,65,161,16
PBN400,M7J9HVKE,0000,ACA3,v,66,162,16
PBN400,M7J9HVKE,0000,ACA3,v,67,163,26
PBN400,M7J9HVKE,0000,ACA3,v,68,164,15
PBN400,M7J9HVKE,0000,ACA3,v,69,165,16
PBN400,M7J9HVKE,0000,ACA3,v,70,166,16
PBN400,M7J9HVKE,0000,ACA3,v,71,167,46
PBN400,M7J9HVKE,0000,ACA3,I,0,168,0
PBN400,M7J9HVKE,0000,ACA3,V,19,178,1
PBN400,M7J9HVKE,0000,ACA3,T,24,179,0
PBN400,M7J9HVKE,0000,ACA3,a,76,194,4458
PBN400,M7J9HVKE,0000,ACA3,u,77,195,30
PBN403,M7JGAYXE,0000,ACA3,I,0,0,64
PBN403,M7JGAYXE,0000,ACA3,u,1,1,27
PBN403,M7JGAYXE,0000,ACA3,w,6,6,5
PBN403,M7JGAYXE,0000,ACA3,w,7,7,190
PBN403,M7JGAYXE,0000,ACA3,I,0,8,0
PBN403,M7JGAYXE,0000,ACA3,d,11,15,9115
PBN403,M7JGAYXE,0000,ACA3,d,14,18,8943
PBN403,M7JGAYXE,0000,ACA3,v,18,22,33
PBN403,M7JGAYXE,0000,ACA3,V,19,23,0
PBN403,M7JGAYXE,0000,ACA3,c,20,24,0
PBN403,M7JGAYXE,0000,ACA3,k,21,25,5
PBN403,M7JGAYXE,0000,ACA3,w,22,26,4
PBN403,M7JGAYXE,0000,ACA3,?,23,27,620
PBN403,M7JGAYXE,0000,ACA3,T,24,28,858
PBN403,M7JGAYXE,0000,ACA3,v,25,29,364
PBN403,M7JGAYXE,0000,ACA3,v,26,30,0
PBN403,M7JGAYXE,0000,ACA3,I,0,33,0
PBN403,M7JGAYXE,0000,ACA3,V,19,43,1
PBN403,M7JGAYXE,0000,ACA3,T,24,44,19855
PBN403,M7JGAYXE,0000,ACA3,d,29,47,11397
PBN403,M7JGAYXE,0000,ACA3,I,0,49,0
PBN403,M7JGAYXE,0000,ACA3,V,19,59,0
PBN403,M7JGAYXE,0000,ACA3,T,24,60,0
PBN403,M7JGAYXE,0000,ACA3,c,32,64,15
PBN403,M7JGAYXE,0000,ACA3,c,33,65,92
PBN403,M7JGAYXE,0000,ACA3,c,34,66,74
PBN403,M7JGAYXE,0000,ACA3,c,35,67,36
PBN403,M7JGAYXE,0000,ACA3,v,36,68,265
PBN403,M7JGAYXE,0000,ACA3,v,37,69,121
PBN403,M7JGAYXE,0000,ACA3,w,38,70,112
PBN403,M7JGAYXE,0000,ACA3,I,0,71,0
PBN403,M7JGAYXE,0000,ACA3,V,19,81,3
PBN403,M7JGAYXE,0000,ACA3,T,24,82,0
PBN403,M7JGAYXE,0000,ACA3,s,42,88,8041
PBN403,M7JGAYXE,0000,ACA3,w,44,90,4
PBN403,M7JGAYXE,0000,ACA3,s,47,93,15540
